TRACE-A	FREQ-A	TRACE-B	FREQ-B	TRACE-C	FREQ-C
-80.879	8436.363637	-81.951	8436.363637	-78.961	8436.363637
-80.558	8440.000001	-81.517	8440.000001	-79.708	8440.000001
-80.989	8443.636364	-82.455	8443.636364	-79.287	8443.636364
-80.417	8447.272728	-82.149	8447.272728	-79.157	8447.272728
-81.299	8450.909091	-81.837	8450.909091	-79.065	8450.909091
-81.159	8454.545455	-82.19	8454.545455	-78.891	8454.545455
-80.29	8458.181819	-82.096	8458.181819	-79.204	8458.181819
-81.067	8461.818182	-81.927	8461.818182	-78.72	8461.818182
-80.738	8465.454546	-81.726	8465.454546	-78.696	8465.454546
-81.004	8469.09091	-82.023	8469.09091	-78.816	8469.09091
-80.797	8472.727273	-81.933	8472.727273	-78.478	8472.727273
-81.181	8476.363637	-81.662	8476.363637	-78.86	8476.363637
-81.102	8480.000001	-82.654	8480.000001	-78.525	8480.000001
-80.841	8483.636364	-81.792	8483.636364	-78.813	8483.636364
-80.773	8487.272728	-81.912	8487.272728	-79.145	8487.272728
-81.191	8490.909091	-82.76	8490.909091	-79.056	8490.909091
-81.263	8494.545455	-82.834	8494.545455	-79.369	8494.545455
-80.831	8498.181819	-82.224	8498.181819	-79.772	8498.181819
-81.178	8501.818182	-82.738	8501.818182	-79.122	8501.818182
-81.649	8505.454546	-82.062	8505.454546	-79.089	8505.454546
-81.1	8509.09091	-81.992	8509.09091	-79.665	8509.09091
-81.326	8512.727273	-82.487	8512.727273	-79.865	8512.727273
-81.571	8516.363637	-82.377	8516.363637	-78.878	8516.363637
-81.44	8520.000001	-81.801	8520.000001	-79.335	8520.000001
-80.79	8523.636364	-82.56	8523.636364	-78.314	8523.636364
-80.807	8527.272728	-81.586	8527.272728	-79.549	8527.272728
-81.397	8530.909091	-81.406	8530.909091	-79.84	8530.909091
-81.76	8534.545455	-81.887	8534.545455	-79.685	8534.545455
-81.117	8538.181819	-81.777	8538.181819	-79.744	8538.181819
-80.804	8541.818182	-81.557	8541.818182	-79.081	8541.818182
-80.523	8545.454546	-81.373	8545.454546	-78.495	8545.454546
-80.774	8549.09091	-81.583	8549.09091	-79.235	8549.09091
-81.213	8552.727273	-81.329	8552.727273	-78.747	8552.727273
-80.826	8556.363637	-81.932	8556.363637	-79.26	8556.363637
-81.01	8560.000001	-82.304	8560.000001	-78.633	8560.000001
-80.981	8563.636364	-82.377	8563.636364	-78.623	8563.636364
-81.561	8567.272728	-82.108	8567.272728	-78.79	8567.272728
-80.76	8570.909091	-81.996	8570.909091	-78.333	8570.909091
-80.79	8574.545455	-82.568	8574.545455	-79.322	8574.545455
-80.483	8578.181819	-81.869	8578.181819	-79.478	8578.181819
-80.861	8581.818182	-81.679	8581.818182	-79.458	8581.818182
-80.975	8585.454546	-82.447	8585.454546	-79.205	8585.454546
-81.037	8589.09091	-81.824	8589.09091	-79.213	8589.09091
-80.84	8592.727273	-82.299	8592.727273	-79.381	8592.727273
-81.131	8596.363637	-81.884	8596.363637	-79.122	8596.363637
-80.306	8600.000001	-82.043	8600.000001	-78.647	8600.000001
-81.01	8603.636364	-81.95	8603.636364	-78.486	8603.636364
-80.906	8607.272728	-82.53	8607.272728	-78.884	8607.272728
-81.539	8610.909091	-81.339	8610.909091	-78.646	8610.909091
-80.794	8614.545455	-82.096	8614.545455	-79.492	8614.545455
-80.734	8618.181819	-81.481	8618.181819	-79.327	8618.181819
-80.863	8621.818182	-82.31	8621.818182	-79.405	8621.818182
-81.434	8625.454546	-81.919	8625.454546	-78.636	8625.454546
-80.773	8629.09091	-82.058	8629.09091	-79.049	8629.09091
-81.136	8632.727273	-82.154	8632.727273	-79.053	8632.727273
-81.063	8636.363637	-81.903	8636.363637	-78.888	8636.363637
-81.483	8640.000001	-81.773	8640.000001	-78.771	8640.000001
-81.11	8643.636364	-81.87	8643.636364	-79.734	8643.636364
-80.481	8647.272728	-81.149	8647.272728	-79.009	8647.272728
-81.196	8650.909091	-81.777	8650.909091	-79.217	8650.909091
-80.508	8654.545455	-81.68	8654.545455	-78.984	8654.545455
-81.128	8658.181819	-81.659	8658.181819	-79.181	8658.181819
-80.928	8661.818182	-82.099	8661.818182	-79.262	8661.818182
-80.891	8665.454546	-82.044	8665.454546	-79.059	8665.454546
-81.141	8669.09091	-82.032	8669.09091	-79.407	8669.09091
-81.105	8672.727273	-82.885	8672.727273	-79.15	8672.727273
-81.329	8676.363637	-82.208	8676.363637	-79.077	8676.363637
-81.601	8680.000001	-82.079	8680.000001	-79.198	8680.000001
-81.162	8683.636364	-81.913	8683.636364	-79.038	8683.636364
-80.903	8687.272728	-81.756	8687.272728	-78.97	8687.272728
-81.007	8690.909091	-82.219	8690.909091	-79.022	8690.909091
-80.841	8694.545455	-82.095	8694.545455	-79.068	8694.545455
-81.438	8698.181819	-82.251	8698.181819	-79.286	8698.181819
-80.408	8701.818182	-82.249	8701.818182	-79.077	8701.818182
-80.941	8705.454546	-81.97	8705.454546	-78.744	8705.454546
-81.156	8709.09091	-81.941	8709.09091	-78.592	8709.09091
-81.048	8712.727273	-81.672	8712.727273	-79.264	8712.727273
-80.992	8716.363637	-82.222	8716.363637	-79.093	8716.363637
-81.188	8720.000001	-82.062	8720.000001	-79.222	8720.000001
-80.916	8723.636364	-82.388	8723.636364	-79.037	8723.636364
-81.1	8727.272728	-81.656	8727.272728	-79.069	8727.272728
-81.119	8730.909091	-82.278	8730.909091	-79.194	8730.909091
-81.455	8734.545455	-81.714	8734.545455	-79.178	8734.545455
-81.401	8738.181819	-81.713	8738.181819	-79.179	8738.181819
-80.886	8741.818182	-81.9	8741.818182	-78.942	8741.818182
-81.475	8745.454546	-81.675	8745.454546	-79.433	8745.454546
-81.272	8749.09091	-82.083	8749.09091	-79.157	8749.09091
-81.376	8752.727273	-82.092	8752.727273	-78.633	8752.727273
-80.895	8756.363637	-82.449	8756.363637	-78.878	8756.363637
-81.221	8760.000001	-82.094	8760.000001	-79.384	8760.000001
-81.216	8763.636364	-82.462	8763.636364	-79.63	8763.636364
-80.53	8767.272728	-82.13	8767.272728	-79.111	8767.272728
-81.049	8770.909091	-81.845	8770.909091	-79.277	8770.909091
-81.056	8774.545455	-81.921	8774.545455	-79.412	8774.545455
-80.836	8778.181819	-82.229	8778.181819	-78.799	8778.181819
-80.746	8781.818182	-81.983	8781.818182	-79.224	8781.818182
-81.32	8785.454546	-82.091	8785.454546	-78.956	8785.454546
-81.842	8789.09091	-82.366	8789.09091	-78.743	8789.09091
-81.797	8792.727273	-82.58	8792.727273	-79.729	8792.727273
-81.019	8796.363637	-81.935	8796.363637	-79.696	8796.363637
-81.438	8800.000001	-82.051	8800.000001	-79.652	8800.000001
-81.615	8803.636364	-82.213	8803.636364	-79.469	8803.636364
-81.311	8807.272728	-82.695	8807.272728	-79.683	8807.272728
-81.427	8810.909091	-82.766	8810.909091	-79.516	8810.909091
-81.773	8814.545455	-81.792	8814.545455	-79.114	8814.545455
-81.508	8818.181819	-82.172	8818.181819	-79.385	8818.181819
-81.352	8821.818182	-82.424	8821.818182	-79.315	8821.818182
-81.092	8825.454546	-82.371	8825.454546	-78.946	8825.454546
-80.919	8829.09091	-82.426	8829.09091	-79.611	8829.09091
-81.519	8832.727273	-82.078	8832.727273	-78.584	8832.727273
-81.421	8836.363637	-82.084	8836.363637	-79.767	8836.363637
-81.275	8840.000001	-82.36	8840.000001	-78.984	8840.000001
-81.497	8843.636364	-82.328	8843.636364	-79.484	8843.636364
-81.706	8847.272728	-82.378	8847.272728	-78.85	8847.272728
-81.338	8850.909091	-82.641	8850.909091	-80.636	8850.909091
-81.799	8854.545455	-82.574	8854.545455	-79.55	8854.545455
-81.203	8858.181819	-82.571	8858.181819	-79.614	8858.181819
-80.443	8861.818182	-83.441	8861.818182	-79.475	8861.818182
-81.316	8865.454546	-82.411	8865.454546	-79.492	8865.454546
-81.359	8869.09091	-82.62	8869.09091	-79.5	8869.09091
-81.745	8872.727273	-83.027	8872.727273	-79.4	8872.727273
-81.064	8876.363637	-82.633	8876.363637	-79.688	8876.363637
-81.595	8880.000001	-82.413	8880.000001	-78.859	8880.000001
-81.588	8883.636364	-82.384	8883.636364	-79.627	8883.636364
-81.135	8887.272728	-82.101	8887.272728	-78.795	8887.272728
-81.318	8890.909091	-82.276	8890.909091	-79.314	8890.909091
-81.205	8894.545455	-82.65	8894.545455	-79.27	8894.545455
-81.186	8898.181819	-82.527	8898.181819	-79.28	8898.181819
-81.557	8901.818182	-82.552	8901.818182	-79.705	8901.818182
-81.327	8905.454546	-82.515	8905.454546	-79.738	8905.454546
-82.339	8909.09091	-82.786	8909.09091	-79.254	8909.09091
-81.643	8912.727273	-82.467	8912.727273	-79.818	8912.727273
